item_id,version,status,mode,prompt,response_type,construct_id,facet_id,context,goal_priority,source_type,licensing_status,social_desirability_risk,chart_hypothesis_ids,branch_rule_ids,notes
ITEM-SOC-001,0.1,draft,all,"After spending several hours with people, what are they usually most likely to want next?",single-select,HUE-01,recovery-need,baseline,communication,original,original,low,,,"Create mode-specific pronouns; include not-observed option"
ITEM-SEN-001,0.1,draft,all,"After a tense conversation, how long does it usually take before they can focus normally again?",single-select,HUE-02,emotional-intensity,stress,emotional-reactions,original,original,moderate,,,"Do not interpret duration as regulation without HUE-03 evidence"
ITEM-REG-001,0.1,draft,all,"When they become emotionally overwhelmed, what do they usually do first?",single-select,HUE-03,first-regulation-response,stress,stress-patterns,original,original,moderate,,,"Options should distinguish pause, seek support, argue, withdraw, distract, not sure"
ITEM-AUT-001,0.1,draft,all,"When someone gives detailed advice they did not ask for, what are they most likely to do?",single-select,HUE-04,reactance,relationship,communication,original,original,moderate,,,"Avoid framing resistance as bad"
ITEM-BEL-001,0.1,draft,all,"When an important person becomes unusually quiet, what do they tend to assume first?",single-select,HUE-05,reassurance-need,relationship,emotional-reactions,original,original,high,,,"Include benign and uncertain interpretations"
ITEM-CRI-001,0.1,draft,all,"Which form of correction is easiest for them to use constructively?",single-select,HUE-06,feedback-format,baseline,communication,original,original,moderate,,,"Follow with public/private evaluation scenario"
ITEM-DEC-001,0.1,draft,all,"When facing an important decision, what do they usually do first?",single-select,HUE-07,information-gathering,decision,decision-making,original,original,low,,,"Options: decide, research, consult one person, consult many, delay, not sure"
ITEM-CON-001,0.1,draft,all,"When a small disagreement begins, what is their most common first response?",single-select,HUE-08,initial-conflict-response,conflict,conflict,original,original,moderate,,,"Pair with fairness-trigger item for contradiction testing"
ITEM-CER-001,0.1,draft,all,"When plans remain uncertain for several days, what usually changes most in their behavior?",single-select,HUE-09,uncertainty-response,stress,stress-patterns,original,original,moderate,,,"Do not confound realistic external danger"
ITEM-MOT-001,0.1,draft,all,"Which situation is most likely to make them put in extra effort without being reminded?",paired-choice,HUE-10,reward-orientation,baseline,motivation,original,original,high,,,"Randomize balanced motive pairings across forms"
ITEM-ADP-001,0.1,draft,all,"When a well-established plan changes suddenly, what do they usually need before moving forward?",single-select,HUE-11,transition-response,stress,direction,original,original,low,,,"Separate processing time from rigidity"
ITEM-STR-001,0.1,draft,all,"When demands pile up faster than they can manage, which pattern appears first?",single-select,HUE-12,stress-expression,stress,stress-patterns,original,original,moderate,,,"Options: control, withdraw, confront, appease, over-function, distract, seek support, not sure"
